               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,            0.056986,              0.1643,            0.028225,             0.73877,             0.52613,             0.56068,             0.30654,            0.033155,             0.11704,            0.023776,           0.0017739,           0.0017739,            0.026874
                 150,            0.056623,             0.15789,            0.027813,             0.72265,             0.53063,              0.5464,             0.29734,            0.033644,             0.11769,              0.0241,           0.0017478,           0.0017478,            0.026348
                 151,             0.05653,             0.16611,            0.028668,             0.29925,             0.82983,             0.53047,             0.29821,            0.032488,             0.11978,            0.024585,           0.0017217,           0.0017217,            0.025822
                 152,            0.055961,             0.16253,            0.028282,             0.72524,             0.53857,             0.54894,             0.32706,            0.029641,             0.11574,            0.023811,           0.0016958,           0.0016958,            0.025296
                 153,            0.056767,             0.17138,            0.028241,             0.74949,             0.50684,             0.54912,             0.32254,             0.03098,             0.11647,            0.023884,             0.00167,             0.00167,             0.02477
                 154,            0.055075,             0.16449,            0.028076,             0.73094,             0.53286,             0.54284,             0.33615,            0.028915,             0.11398,            0.023864,           0.0016444,           0.0016444,            0.024244
                 155,            0.057669,             0.16382,            0.028727,             0.75358,               0.518,              0.5413,              0.2835,            0.034689,             0.11637,            0.023587,           0.0016189,           0.0016189,            0.023719
                 156,            0.056319,             0.17374,            0.028145,             0.75058,             0.51925,             0.55448,             0.34976,             0.02785,             0.11291,            0.023008,           0.0015936,           0.0015936,            0.023194
                 157,            0.056812,             0.16984,            0.028138,             0.73161,             0.53648,             0.53879,             0.28887,            0.033112,             0.11962,            0.023817,           0.0015686,           0.0015686,            0.022669
                 158,            0.055946,             0.16469,             0.02816,             0.77383,             0.50194,             0.55776,              0.2947,            0.033796,             0.11724,             0.02287,           0.0015438,           0.0015438,            0.022144
